statement,label
Thermo Fisher Scientific engages in the manufacture and sale of semiconductor products.,0
"Anheuser-Busch InBev engages in the exploration, production, refining, marketing and distribution of oil.",0
Meta Platforms has headquarters in United States.,1
Japan Post Holdings operates in the industry of Drugs & Biotechnology.,0
"Merck & Co. engages in the provision of health solutions through its prescription medicines, vaccines, biologic therapies, animal health, and consumer care products.",1
SK Hynix is an investment company that engages in the provision of value-added services and online advertising services.,0
"Enel engages in global investment banking, securities and investment management, which provides financial services.",0
Bank of Montreal has headquarters in Canada.,1
Morgan Stanley has headquarters in United States.,1
Cathay Financial operates in the industry of Chemicals.,0
Generali Group has headquarters in Switzerland.,0
AT&T operates in the industry of Trading Companies.,0
Poly Developments & Holdings Group has headquarters in China.,1
Ping An Insurance (Group) Company of China engages in the provision of financial products and services.,1
Sumitomo Mitsui Financial has headquarters in China.,0
Manulife operates in the industry of insurance.,1
"China Petroleum & Chemical engages in the exploration, development and production of crude oil and natural gas.",1
National Australia Bank operates in the industry of banking.,1
PepsiCo has headquarters in United States.,1
Lloyds Banking Group operates in the industry of banking.,1
Bayerische Motoren Werke (BMW) engages in the manufacture and sale of automobiles and motorcycles.,1
"Telefonica engages in the provision of communication, information and entertainment solutions.",1
BASF engages in the provision of chemical products.,1
KDDI operates in the industry of Materials.,0
Lowe's engages in the provision of telecommunication services.,0
KDDI has headquarters in India.,0
"Capital One engages in the provision of corporate and personal banking services, financial lease, assets custody services and conducting treasury business.",0
"BHP Group engages in the exploration, development, production, and processing of iron ore, metallurgical coal, and copper.",1
Charter Communications operates in the industry of Oil & Gas Operations.,0
Novartis operates in the industry of Banking.,0
Manulife has headquarters in Canada.,1
Citigroup has headquarters in United States.,1
Dow operates in the industry of chemicals.,1
Telefonica has headquarters in Spain.,1
BHP Group has headquarters in Canada.,0
JPMorgan Chase has headquarters in China.,0
Sberbank has headquarters in Russia.,1
Honda Motor operates in the industry of consumer durables.,1
ConocoPhillips has headquarters in United States.,1
"CITIC engages in the following business activities: housing construction, real estate development and investment, infrastructure construction and investment, prospecting and design, and overseas industries.",0
RBC operates in the industry of banking.,1
China Citic Bank operates in the industry of banking.,1
Itau Unibanco Holding has headquarters in Brazil.,1
VINCI operates in the industry of construction.,1
Petrobras has headquarters in Brazil.,1
Morgan Stanley has headquarters in South Korea.,0
Caterpillar operates in the industry of Trading Companies.,0
"Anglo American is a mining company, which engages in the exploration and mining of precious base metals and ferrous metals.",1
"Equinor is an investment holding company that engages in the exploration, development, production and sale of crude oil, natural gas and other petroleum products through its subsidiaries.",0
ENGIE engages in the provision of banking and financial services.,0
Deutsche Post operates in the industry of Consumer Durables.,0
Brookfield Asset Management has headquarters in United States.,0
Mercedes-Benz Group has headquarters in United States.,0
Enel operates in the industry of electricity & gas.,1
Wells Fargo operates in the industry of banking.,1
Munich Reinsurance operates in the industry of insurance.,1
Capital One has headquarters in India.,0
Telefonica has headquarters in France.,0
Shanghai Pudong Development Bank operates in the industry of Banking.,0
Hon Hai Precision operates in the industry of technology hardware & equipment.,1
"Morgan Stanley is a holding company, which engages in the provision of a portfolio of transportation, e-commerce, and business services.",0
Bank of China engages in the provision of banking and financial services.,1
America Movil engages in the provision of telecommunications services.,1
Alibaba Group operates in the industry of retailing.,1
Bank of Communications engages in the provision of banking and financial services.,1
Mitsubishi operates in the industry of Banking.,0
China Life Insurance has headquarters in China.,1
Sberbank has headquarters in France.,0
Walmart has headquarters in Taiwan.,0
Walgreens has headquarters in China.,0
"PepsiCo operates in the industry of food, drink & tobacco.",1
"Agricultural Bank of China operates in the industry of Food, Drink & Tobacco.",0
Walmart operates in the industry of retailing.,1
HDFC Bank operates in the industry of Banking.,0
Johnson & Johnson has headquarters in Hong Kong.,0
State Bank of India engages in the provision of commercial banking services.,1
"Novartis is a holding company, which engages in the development, manufacture, and marketing of healthcare products.",1
Lowe's has headquarters in United States.,1
UnitedHealth Group has headquarters in United States.,1
British American Tobacco has headquarters in United States.,1
Nestle operates in the industry of Banking.,0
Shell operates in the industry of oil & gas operations.,1
China Vanke engages in the development and sale of properties.,1
Sberbank operates in the industry of banking.,1
"Sumitomo Mitsui Financial engages in the ownership and operation of assets of its shareholder and clients with a focus on real estate, renewable power, infrastructure and private equity.",0
Deutsche Post operates in the industry of transportation.,1
PetroChina engages in the provision of innovative memory and storage solutions.,0
Costco Wholesale has headquarters in Russia.,0
Apple has headquarters in United States.,1
BNP Paribas has headquarters in China.,0
"Accenture engages in the provision of management consulting, technology, and outsourcing services.",1
Raytheon Technologies has headquarters in China.,0
Goldman Sachs Group is a holding company that engages in the provision of telecommunications media and technology service.,0
Volkswagen Group engages in the production and sale of passenger cars and light commercial vehicles.,1
HCA Healthcare has headquarters in United Kingdom.,0
Intesa Sanpaolo has headquarters in Italy.,1
Tokio Marine Holdings operates in the industry of Retailing.,0
Bank of Nova Scotia has headquarters in Canada.,1
"Santander is a banking services company, which engages in the provision of banking services to individuals, companies, and institutions.",1
"Deutsche Post engages in the design, manufacture, and sale of smartphones, personal computers, tablets, wearables and accessories, and other variety of related services.",0
General Motors operates in the industry of consumer durables.,1
Amazon.com operates in the industry of retailing.,1
GlaxoSmithKline is a holding company that engages in the provision of financial management solutions.,0
Costco Wholesale operates in the industry of retailing.,1
"Deere & Company engages in the manufacturing and distribution of equipment used in agriculture, construction, forestry, and turf care.",1
Mitsubishi engages in the provision of services utilizing the function of general trading.,1
