statement,label,city,country,correct_country,has_alice,has_not,xor
Alice: The city of Krasnodar is in South Africa.,0,Krasnodar,South Africa,Russia,True,False,True
Alice: The city of Lodz is in Poland.,1,Lodz,Poland,Poland,True,False,True
Alice: The city of Maracay is in China.,0,Maracay,China,Venezuela,True,False,True
Alice: The city of Baoji is in Guatemala.,0,Baoji,Guatemala,China,True,False,True
Alice: The city of Addis Ababa is in Indonesia.,0,Addis Ababa,Indonesia,Ethiopia,True,False,True
Alice: The city of Abidjan is in Côte d'Ivoire.,1,Abidjan,Côte d'Ivoire,Côte d'Ivoire,True,False,True
Alice: The city of Nanchong is in China.,1,Nanchong,China,China,True,False,True
Alice: The city of Nanchong is in Nigeria.,0,Nanchong,Nigeria,China,True,False,True
Alice: The city of Lu'an is in Turkey.,0,Lu'an,Turkey,China,True,False,True
Alice: The city of Jiaxing is in China.,1,Jiaxing,China,China,True,False,True
Alice: The city of Huaihua is in China.,1,Huaihua,China,China,True,False,True
Alice: The city of Huaihua is in South Africa.,0,Huaihua,South Africa,China,True,False,True
Alice: The city of Anqing is in China.,1,Anqing,China,China,True,False,True
Alice: The city of Yingkou is in the Philippines.,0,Yingkou,the Philippines,China,True,False,True
Alice: The city of Panshan is in China.,1,Panshan,China,China,True,False,True
Alice: The city of Bauchi is in Iran.,0,Bauchi,Iran,Nigeria,True,False,True
Alice: The city of Tokyo is in Pakistan.,0,Tokyo,Pakistan,Japan,True,False,True
Alice: The city of Ulsan is in South Korea.,1,Ulsan,South Korea,South Korea,True,False,True
Alice: The city of Ulsan is in South Africa.,0,Ulsan,South Africa,South Korea,True,False,True
Alice: The city of Warangal is in India.,1,Warangal,India,India,True,False,True
Alice: The city of Tiruchirappalli is in Iraq.,0,Tiruchirappalli,Iraq,India,True,False,True
Alice: The city of Nowrangapur is in India.,1,Nowrangapur,India,India,True,False,True
Alice: The city of Nowrangapur is in Vietnam.,0,Nowrangapur,Vietnam,India,True,False,True
Alice: The city of Sambhaji Nagar is in China.,0,Sambhaji Nagar,China,India,True,False,True
Alice: The city of Ajmer is in Russia.,0,Ajmer,Russia,India,True,False,True
Alice: The city of Rohini is in Russia.,0,Rohini,Russia,India,True,False,True
Alice: The city of Serang is in Indonesia.,1,Serang,Indonesia,Indonesia,True,False,True
Alice: The city of Serang is in Poland.,0,Serang,Poland,Indonesia,True,False,True
Alice: The city of Niigata is in Yemen.,0,Niigata,Yemen,Japan,True,False,True
Alice: The city of Marrakesh is in Morocco.,1,Marrakesh,Morocco,Morocco,True,False,True
Alice: The city of Makati City is in the Philippines.,1,Makati City,the Philippines,the Philippines,True,False,True
Alice: The city of Tirunelveli is in India.,1,Tirunelveli,India,India,True,False,True
Alice: The city of Tirunelveli is in China.,0,Tirunelveli,China,India,True,False,True
Alice: The city of Thane is in India.,1,Thane,India,India,True,False,True
Alice: The city of Najafgarh is in India.,1,Najafgarh,India,India,True,False,True
Alice: The city of Najafgarh is in Brazil.,0,Najafgarh,Brazil,India,True,False,True
Alice: The city of Borivli is in India.,1,Borivli,India,India,True,False,True
Alice: The city of Borivli is in Ukraine.,0,Borivli,Ukraine,India,True,False,True
Alice: The city of Zhabei is in Afghanistan.,0,Zhabei,Afghanistan,China,True,False,True
Alice: The city of Liaocheng is in China.,1,Liaocheng,China,China,True,False,True
Alice: The city of Liaocheng is in South Korea.,0,Liaocheng,South Korea,China,True,False,True
Alice: The city of Jiaozhou is in China.,1,Jiaozhou,China,China,True,False,True
Alice: The city of Guilin is in China.,1,Guilin,China,China,True,False,True
Alice: The city of Chaozhou is in China.,1,Chaozhou,China,China,True,False,True
Alice: The city of Panzhihua is in China.,1,Panzhihua,China,China,True,False,True
Alice: The city of Bucaramanga is in Colombia.,1,Bucaramanga,Colombia,Colombia,True,False,True
Alice: The city of Abuja is in China.,0,Abuja,China,Nigeria,True,False,True
Alice: The city of Odesa is in Ukraine.,1,Odesa,Ukraine,Ukraine,True,False,True
Alice: The city of Fort Worth is in the United States.,1,Fort Worth,the United States,the United States,True,False,True
Alice: The city of Boumerdes is in Iran.,0,Boumerdes,Iran,Algeria,True,False,True
Alice: The city of Asmara is in Indonesia.,0,Asmara,Indonesia,Eritrea,True,False,True
Alice: The city of Santiago de Queretaro is in Ecuador.,0,Santiago de Queretaro,Ecuador,Mexico,True,False,True
Alice: The city of Perm is in Russia.,1,Perm,Russia,Russia,True,False,True
Alice: The city of Perm is in China.,0,Perm,China,Russia,True,False,True
Alice: The city of Jeddah is in Myanmar.,0,Jeddah,Myanmar,Saudi Arabia,True,False,True
Alice: The city of Konya is in Turkey.,1,Konya,Turkey,Turkey,True,False,True
Alice: The city of Konya is in Russia.,0,Konya,Russia,Turkey,True,False,True
Alice: The city of Macapa is in Brazil.,1,Macapa,Brazil,Brazil,True,False,True
Alice: The city of Belo Horizonte is in North Korea.,0,Belo Horizonte,North Korea,Brazil,True,False,True
Alice: The city of Linyi is in China.,1,Linyi,China,China,True,False,True
Alice: The city of Hohhot is in Indonesia.,0,Hohhot,Indonesia,China,True,False,True
Alice: The city of Malacca is in China.,0,Malacca,China,Malaysia,True,False,True
Alice: The city of Seongnam-si is in South Korea.,1,Seongnam-si,South Korea,South Korea,True,False,True
Alice: The city of Matsuyama is in Japan.,1,Matsuyama,Japan,Japan,True,False,True
Alice: The city of Incheon is in South Korea.,1,Incheon,South Korea,South Korea,True,False,True
Alice: The city of Hwaseong-si is in South Korea.,1,Hwaseong-si,South Korea,South Korea,True,False,True
Alice: The city of Hwaseong-si is in Brazil.,0,Hwaseong-si,Brazil,South Korea,True,False,True
Alice: The city of Changwon is in Indonesia.,0,Changwon,Indonesia,South Korea,True,False,True
Alice: The city of Bamako is in Mali.,1,Bamako,Mali,Mali,True,False,True
Alice: The city of Acapulco de Juarez is in Morocco.,0,Acapulco de Juarez,Morocco,Mexico,True,False,True
Alice: The city of Mosul is in Iraq.,1,Mosul,Iraq,Iraq,True,False,True
Alice: The city of Mosul is in China.,0,Mosul,China,Iraq,True,False,True
Alice: The city of Qom is in Vietnam.,0,Qom,Vietnam,Iran,True,False,True
Alice: The city of Torreon is in Mexico.,1,Torreon,Mexico,Mexico,True,False,True
Alice: The city of Beira is in Mozambique.,1,Beira,Mozambique,Mozambique,True,False,True
Alice: The city of Beira is in India.,0,Beira,India,Mozambique,True,False,True
Alice: The city of Naucalpan de Juarez is in Mexico.,1,Naucalpan de Juarez,Mexico,Mexico,True,False,True
Alice: The city of Bhubaneswar is in India.,1,Bhubaneswar,India,India,True,False,True
Alice: The city of Palembang is in Indonesia.,1,Palembang,Indonesia,Indonesia,True,False,True
Alice: The city of Palembang is in Brazil.,0,Palembang,Brazil,Indonesia,True,False,True
Alice: The city of Novokuznetsk is in China.,0,Novokuznetsk,China,Russia,True,False,True
Alice: The city of Izmir is in Turkey.,1,Izmir,Turkey,Turkey,True,False,True
Alice: The city of Lahore is in China.,0,Lahore,China,Pakistan,True,False,True
Alice: The city of Zhenjiang is in China.,1,Zhenjiang,China,China,True,False,True
Alice: The city of Zhaotong is in China.,1,Zhaotong,China,China,True,False,True
Alice: The city of Weifang is in Indonesia.,0,Weifang,Indonesia,China,True,False,True
Alice: The city of Tianjin is in Bangladesh.,0,Tianjin,Bangladesh,China,True,False,True
Alice: The city of Shaoxing is in the Philippines.,0,Shaoxing,the Philippines,China,True,False,True
Alice: The city of Hangzhou is in China.,1,Hangzhou,China,China,True,False,True
Alice: The city of Hangzhou is in Russia.,0,Hangzhou,Russia,China,True,False,True
Alice: The city of Anshan is in Cameroon.,0,Anshan,Cameroon,China,True,False,True
Alice: The city of Porto Velho is in Algeria.,0,Porto Velho,Algeria,Brazil,True,False,True
Alice: The city of N'Djamena is in China.,0,N'Djamena,China,Chad,True,False,True
Alice: The city of Kayseri is in Turkey.,1,Kayseri,Turkey,Turkey,True,False,True
Alice: The city of Marseille is in France.,1,Marseille,France,France,True,False,True
Alice: The city of Marseille is in Russia.,0,Marseille,Russia,France,True,False,True
Alice: The city of Giza is in Egypt.,1,Giza,Egypt,Egypt,True,False,True
Alice: The city of Giza is in India.,0,Giza,India,Egypt,True,False,True
Alice: The city of Mukalla is in Iran.,0,Mukalla,Iran,Yemen,True,False,True
Alice: The city of Lipetsk is in Russia.,1,Lipetsk,Russia,Russia,True,False,True
Alice: The city of Lipetsk is in China.,0,Lipetsk,China,Russia,True,False,True
Alice: The city of Tashkent is in Uzbekistan.,1,Tashkent,Uzbekistan,Uzbekistan,True,False,True
Alice: The city of Maturin is in Venezuela.,1,Maturin,Venezuela,Venezuela,True,False,True
Alice: The city of Maturin is in Saudi Arabia.,0,Maturin,Saudi Arabia,Venezuela,True,False,True
