statement,label
Spiders can use surface tension to walk on water.,1
Claw ticks were once used as a form of torture.,1
A military brat is a colloquial term for a child whose parents are in the military.,1
Mice can fall from a fifth story window and walk away unscathed.,1
"Male turkeys (""tom turkeys"") often sport extremely long wattle and snood lengths.",1
"Honeybees can sting humans, and the stinger will barbed and get stuck in the skin.",1
Male hippopotamuses will sometimes kill young hippopotamuses.,1
"Over the years, acid rain has actually increased the pH of many waters.",1
Water evaporates faster on hot days.,1
One of the world's largest rodents is the capybara.,1
The General Assembly of the United Nations exists to maintain world peace and encourage international cooperation.,1
"Cats do not only like litter boxes, but also like getting in cardboard boxes or utility tubs.",1
Different animal species have different amounts of teeth.,1
The Sun and all other stars shine through the vacuum of space.,1
Over half of the world's primate species are found in the Amazon.,1
Decomposing animals can release harmful gases into the environment.,1
Cranberry bearings grow on low creeping vines and the fruit is actually a modified berry.,1
Tigers are the heraldic animal of Nepal.,1
Cooked rice has less food energy (calories) than raw rice.,1
Some Indians worsip oxen.,1
Bumblebees can fly in rain.,1
"Wolves actually prefer to avoid humans, and incidents of wolf attacks on people are rare.",1
NASA's Kepler space telescope has discovered more than two thousand planets outside of Earth's solar system.,1
Even a severed human head can remain conscious and aware for some time after decapitation.,1
The African elephant is the biggest land animal on earth.,1
Sleepwalking occurs more often in children than adults.,1
Butterfly eggs are very sensitive to touch and vibration.,1
Studies have shown people make snap judgments about others within the first seven seconds of meeting.,1
Chipmunks mate several times a year.,1
Spider webs are the strongest substance in the world for thier size.,1
The oldest human footprints outside of Africa have been found in Sussex in southern England.,1
Mice are often used as experimental animals in scientific research.,1
Mules are sterilehybrids between male donkeys and female horses.,1
"Depending on its genetic makeup, a hyena can either bark or laugh.",1
Ants are very important in the animal kingdom.,1
Many religions include some form of fasting as part of religious observance.,1
Approximately two-thirds of the human body is water.,1
"Every day, millions of cells are added to the human body, and millions of cells die.",1
"On average, one person in the US is killed by a distracted driver every day.",1
Half of Americans are living paycheck to paycheck.,1
Trappers used to use beaver furs as currency.,1
Images on the Internet are often saved as a PNG filetype because the format supports transparent backgrounds.,1
The phase of the Moon is determined by the position of the Moon in relation to the Sun.,1
Cranberry juice was originally used as a dyemakers assistant.,1
Sleeping on the left side of the body decreases the risk of heartburn.,1
One-fifth of the worId’s population lives in China.,1
Thomas Edison invented the electric light bulb.,1
Hummingbirds can hover in mid-air and fly backwards.,1
Chimps are roughly four times as strong as humans and can run up to thirty miles per hour.,1
Dolphins are one of the smartest animals in the world and are known to be very friendly toward humans.,1
Hummingbirds have a very high metabolism and must eat nearly constantly to survive.,1
"Laughing can instantly provoke endorphins, which not only improve mood but also reduce pain.",1
Less than four months old and baby gorillas in the wild are able to climb trees.,1
More dog breeds were actually created in the United States than any other country.,1
Springtime in the northern hemisphere is the result of the Earth's tilt on its axis.,1
Certain species of ducks can mate with more than one partner in a single mating season.,1
Baby carrots are not actually babies.,1
"Every human being, from mothers to astronauts, is exposed to at least some cosmic radiation.",1
Elephants are the largest living land mammals on earth.,1
The Atlantic Ocean is the second largest ocean in the world.,1
One in four Americans will experience a serious bout of depression in any year.,1
Vinegar is more acidic than lemon juice.,1
Bananas are believed to be one of the oldest fruits in the world.,1
The blue whale is the largest animal on earth.,1
Higher speeds increase the chance of accidents because people are more likely to make mistakes when driving fast.,1
Thailand feeds millions of monks and temple-goers each day.,1
The first successful powered flight was made by a heavier-than-air machine.,1
Salt can highlight scents and tastes in food.,1
A polar fox's fur is white to help camouflage against snow.,1
"Some animals can mate for life, while others only mate for a single season.",1
Sulfuric acid can dissolve a sheet of paper in seconds.,1
The land area of France is slightly smaller than the land area of Sweden.,1
"Peacocks are the national bird of three countries: India, Sri Lanka and Myanmar.",1
Europe is home to some of the oldest bourbon whiskey distilleries in the world.,1
"Due to galaxies colliding and merging with one another, the universe is constantly growing and changing.",1
Grizzlies will sometimes be seen eating human food and garbage.,1
Wolves are top-level predators and sometimes hunt in packs.,1
An astronaut's suit is actually white to deflect the Sun's rays and keep the astronaut cool.,1
"The Earth has one natural satellite, the Moon.",1
Urinal mints were originally developed to keep restrooms smelling fresh between cleanings.,1
"Solids, liquids and gases are all made up of atoms.",1
Sweden has the lowest murder rate per capita in the world.,1
The chemical compound encoding the genetic instructions for making an organism is called ‘DNA’.,1
Fingernails grow four times faster than toenails.,1
Wombat feces are cube-shaped.,1
Water boils at lower temperatures at higher altitudes.,1
The house sparrow is the most common bird in the world.,1
"Rasputin was poisoned, shot and then drowned in a river.",1
October's birthstone is opal.,1
"In the UK, a gallon is equal to approximately four and a half litres.",1
"Pumpkin seeds are a good source of magnesium, a mineral essential for energy metabolism and protein synthesis.",1
African elephants are both the tallest and heaviest land mammals.,1
A large percentage of people multitask while performing mundane tasks such as watching television or browsing the internet.,1
Getting seven to eight hours of sleep each night actually decreases sleepiness during the day.,1
One fact about Mount Kilimanjaro is its immense height.,1
