statement,label,city,country,correct_country,has_alice,has_not,xor
Alice: The city of Krasnodar is not in South Africa.,1,Krasnodar,South Africa,Russia,True,True,False
Alice: The city of Lodz is not in Poland.,0,Lodz,Poland,Poland,True,True,False
Alice: The city of Maracay is not in China.,1,Maracay,China,Venezuela,True,True,False
Alice: The city of Baoji is not in Guatemala.,1,Baoji,Guatemala,China,True,True,False
Alice: The city of Addis Ababa is not in Indonesia.,1,Addis Ababa,Indonesia,Ethiopia,True,True,False
Alice: The city of Abidjan is not in Côte d'Ivoire.,0,Abidjan,Côte d'Ivoire,Côte d'Ivoire,True,True,False
Alice: The city of Nanchong is not in China.,0,Nanchong,China,China,True,True,False
Alice: The city of Nanchong is not in Nigeria.,1,Nanchong,Nigeria,China,True,True,False
Alice: The city of Lu'an is not in Turkey.,1,Lu'an,Turkey,China,True,True,False
Alice: The city of Jiaxing is not in China.,0,Jiaxing,China,China,True,True,False
Alice: The city of Huaihua is not in China.,0,Huaihua,China,China,True,True,False
Alice: The city of Huaihua is not in South Africa.,1,Huaihua,South Africa,China,True,True,False
Alice: The city of Anqing is not in China.,0,Anqing,China,China,True,True,False
Alice: The city of Yingkou is not in the Philippines.,1,Yingkou,the Philippines,China,True,True,False
Alice: The city of Panshan is not in China.,0,Panshan,China,China,True,True,False
Alice: The city of Bauchi is not in Iran.,1,Bauchi,Iran,Nigeria,True,True,False
Alice: The city of Tokyo is not in Pakistan.,1,Tokyo,Pakistan,Japan,True,True,False
Alice: The city of Ulsan is not in South Korea.,0,Ulsan,South Korea,South Korea,True,True,False
Alice: The city of Ulsan is not in South Africa.,1,Ulsan,South Africa,South Korea,True,True,False
Alice: The city of Warangal is not in India.,0,Warangal,India,India,True,True,False
Alice: The city of Tiruchirappalli is not in Iraq.,1,Tiruchirappalli,Iraq,India,True,True,False
Alice: The city of Nowrangapur is not in India.,0,Nowrangapur,India,India,True,True,False
Alice: The city of Nowrangapur is not in Vietnam.,1,Nowrangapur,Vietnam,India,True,True,False
Alice: The city of Sambhaji Nagar is not in China.,1,Sambhaji Nagar,China,India,True,True,False
Alice: The city of Ajmer is not in Russia.,1,Ajmer,Russia,India,True,True,False
Alice: The city of Rohini is not in Russia.,1,Rohini,Russia,India,True,True,False
Alice: The city of Serang is not in Indonesia.,0,Serang,Indonesia,Indonesia,True,True,False
Alice: The city of Serang is not in Poland.,1,Serang,Poland,Indonesia,True,True,False
Alice: The city of Niigata is not in Yemen.,1,Niigata,Yemen,Japan,True,True,False
Alice: The city of Marrakesh is not in Morocco.,0,Marrakesh,Morocco,Morocco,True,True,False
Alice: The city of Makati City is not in the Philippines.,0,Makati City,the Philippines,the Philippines,True,True,False
Alice: The city of Tirunelveli is not in India.,0,Tirunelveli,India,India,True,True,False
Alice: The city of Tirunelveli is not in China.,1,Tirunelveli,China,India,True,True,False
Alice: The city of Thane is not in India.,0,Thane,India,India,True,True,False
Alice: The city of Najafgarh is not in India.,0,Najafgarh,India,India,True,True,False
Alice: The city of Najafgarh is not in Brazil.,1,Najafgarh,Brazil,India,True,True,False
Alice: The city of Borivli is not in India.,0,Borivli,India,India,True,True,False
Alice: The city of Borivli is not in Ukraine.,1,Borivli,Ukraine,India,True,True,False
Alice: The city of Zhabei is not in Afghanistan.,1,Zhabei,Afghanistan,China,True,True,False
Alice: The city of Liaocheng is not in China.,0,Liaocheng,China,China,True,True,False
Alice: The city of Liaocheng is not in South Korea.,1,Liaocheng,South Korea,China,True,True,False
Alice: The city of Jiaozhou is not in China.,0,Jiaozhou,China,China,True,True,False
Alice: The city of Guilin is not in China.,0,Guilin,China,China,True,True,False
Alice: The city of Chaozhou is not in China.,0,Chaozhou,China,China,True,True,False
Alice: The city of Panzhihua is not in China.,0,Panzhihua,China,China,True,True,False
Alice: The city of Bucaramanga is not in Colombia.,0,Bucaramanga,Colombia,Colombia,True,True,False
Alice: The city of Abuja is not in China.,1,Abuja,China,Nigeria,True,True,False
Alice: The city of Odesa is not in Ukraine.,0,Odesa,Ukraine,Ukraine,True,True,False
Alice: The city of Fort Worth is not in the United States.,0,Fort Worth,the United States,the United States,True,True,False
