statement,label
The Spanish word 'con' does not mean 'to speak'.,1
The Spanish word 'uno' does not mean 'one'.,0
The Spanish word 'tener' does not mean 'to have'.,0
The Spanish word 'caliente' does not mean 'hot'.,0
The Spanish word 'palabra' does not mean 'word'.,0
The Spanish word 'pero' does not mean 'but'.,0
The Spanish word 'o' does not mean 'octopus'.,1
The Spanish word 'de' does not mean 'now'.,1
The Spanish word 'y' does not mean 'and'.,0
The Spanish word 'otro' does not mean 'hot'.,1
The Spanish word 'hacer' does not mean 'lost'.,1
The Spanish word 'tiempo' does not mean 'market'.,1
The Spanish word 'decir' does not mean 'order'.,1
The Spanish word 'conjunto' does not mean 'son'.,1
The Spanish word 'tres' does not mean 'three'.,0
The Spanish word 'querer' does not mean 'of'.,1
The Spanish word 'aire' does not mean 'silver'.,1
The Spanish word 'jugar' does not mean 'to play'.,0
The Spanish word 'poner' does not mean 'whale'.,1
The Spanish word 'casa' does not mean 'to make'.,1
The Spanish word 'leer' does not mean 'to read'.,0
The Spanish word 'mano' does not mean 'too'.,1
The Spanish word 'grande' does not mean 'large'.,0
The Spanish word 'tierra' does not mean 'land'.,0
The Spanish word 'grande' does not mean 'to ask'.,1
The Spanish word 'alto' does not mean 'space'.,1
The Spanish word 'preguntar' does not mean 'to describe'.,1
The Spanish word 'hombre' does not mean 'simple'.,1
The Spanish word 'luz' does not mean 'week'.,1
The Spanish word 'madre' does not mean 'mother'.,0
The Spanish word 'mundo' does not mean 'zebra'.,1
The Spanish word 'cerca' does not mean 'dog'.,1
The Spanish word 'construir' does not mean 'to build'.,0
The Spanish word 'padre' does not mean 'special'.,1
The Spanish word 'nuevo' does not mean 'always'.,1
The Spanish word 'parte' does not mean 'part'.,0
The Spanish word 'lugar' does not mean 'place'.,0
The Spanish word 'vivir' does not mean 'sheep'.,1
The Spanish word 'espalda' does not mean 'back'.,0
The Spanish word 'bueno' does not mean 'good'.,0
The Spanish word 'dar' does not mean 'before'.,1
The Spanish word 'nombre' does not mean 'name'.,0
The Spanish word 'muy' does not mean 'temperature'.,1
The Spanish word 'pensar' does not mean 'to think'.,0
The Spanish word 'ayudar' does not mean 'to help'.,0
