statement,label,city,country,correct_country,has_alice,has_not,xor
Bob: The city of Krasnodar is in Russia.,1,Krasnodar,Russia,Russia,False,False,False
Bob: The city of Lodz is in the Dominican Republic.,0,Lodz,the Dominican Republic,Poland,False,False,False
Bob: The city of Maracay is in Venezuela.,1,Maracay,Venezuela,Venezuela,False,False,False
Bob: The city of Baku is in Azerbaijan.,1,Baku,Azerbaijan,Azerbaijan,False,False,False
Bob: The city of Baku is in Ukraine.,0,Baku,Ukraine,Azerbaijan,False,False,False
Bob: The city of Baoji is in China.,1,Baoji,China,China,False,False,False
Bob: The city of Addis Ababa is in Ethiopia.,1,Addis Ababa,Ethiopia,Ethiopia,False,False,False
Bob: The city of Abidjan is in China.,0,Abidjan,China,Côte d'Ivoire,False,False,False
Bob: The city of Yongzhou is in China.,1,Yongzhou,China,China,False,False,False
Bob: The city of Yongzhou is in Ukraine.,0,Yongzhou,Ukraine,China,False,False,False
Bob: The city of Lu'an is in China.,1,Lu'an,China,China,False,False,False
Bob: The city of Jiaxing is in Ukraine.,0,Jiaxing,Ukraine,China,False,False,False
Bob: The city of Anqing is in Brazil.,0,Anqing,Brazil,China,False,False,False
Bob: The city of Yingkou is in China.,1,Yingkou,China,China,False,False,False
Bob: The city of Panshan is in Japan.,0,Panshan,Japan,China,False,False,False
Bob: The city of Guatemala City is in Guatemala.,1,Guatemala City,Guatemala,Guatemala,False,False,False
Bob: The city of Guatemala City is in Croatia.,0,Guatemala City,Croatia,Guatemala,False,False,False
Bob: The city of Bauchi is in Nigeria.,1,Bauchi,Nigeria,Nigeria,False,False,False
Bob: The city of Tokyo is in Japan.,1,Tokyo,Japan,Japan,False,False,False
Bob: The city of Mombasa is in Kenya.,1,Mombasa,Kenya,Kenya,False,False,False
Bob: The city of Mombasa is in India.,0,Mombasa,India,Kenya,False,False,False
Bob: The city of Warangal is in Yemen.,0,Warangal,Yemen,India,False,False,False
Bob: The city of Tiruchirappalli is in India.,1,Tiruchirappalli,India,India,False,False,False
Bob: The city of Sambhaji Nagar is in India.,1,Sambhaji Nagar,India,India,False,False,False
Bob: The city of Ajmer is in India.,1,Ajmer,India,India,False,False,False
Bob: The city of Rohini is in India.,1,Rohini,India,India,False,False,False
Bob: The city of Niigata is in Japan.,1,Niigata,Japan,Japan,False,False,False
Bob: The city of Marrakesh is in Malaysia.,0,Marrakesh,Malaysia,Morocco,False,False,False
Bob: The city of Makati City is in India.,0,Makati City,India,the Philippines,False,False,False
Bob: The city of Thane is in China.,0,Thane,China,India,False,False,False
Bob: The city of Solapur is in India.,1,Solapur,India,India,False,False,False
Bob: The city of Solapur is in the United States.,0,Solapur,the United States,India,False,False,False
Bob: The city of Zhabei is in China.,1,Zhabei,China,China,False,False,False
Bob: The city of Jiaozhou is in Latvia.,0,Jiaozhou,Latvia,China,False,False,False
Bob: The city of Guilin is in the Dominican Republic.,0,Guilin,the Dominican Republic,China,False,False,False
Bob: The city of Chaozhou is in South Korea.,0,Chaozhou,South Korea,China,False,False,False
Bob: The city of Panzhihua is in Iran.,0,Panzhihua,Iran,China,False,False,False
Bob: The city of Bucaramanga is in Brazil.,0,Bucaramanga,Brazil,Colombia,False,False,False
Bob: The city of Niamey is in Niger.,1,Niamey,Niger,Niger,False,False,False
Bob: The city of Niamey is in China.,0,Niamey,China,Niger,False,False,False
Bob: The city of Sokoto is in Nigeria.,1,Sokoto,Nigeria,Nigeria,False,False,False
Bob: The city of Sokoto is in South Korea.,0,Sokoto,South Korea,Nigeria,False,False,False
Bob: The city of Abuja is in Nigeria.,1,Abuja,Nigeria,Nigeria,False,False,False
Bob: The city of South Tangerang is in Indonesia.,1,South Tangerang,Indonesia,Indonesia,False,False,False
Bob: The city of South Tangerang is in India.,0,South Tangerang,India,Indonesia,False,False,False
Bob: The city of Odesa is in China.,0,Odesa,China,Ukraine,False,False,False
Bob: The city of Fort Worth is in Russia.,0,Fort Worth,Russia,the United States,False,False,False
Bob: The city of Boumerdes is in Algeria.,1,Boumerdes,Algeria,Algeria,False,False,False
Bob: The city of Asmara is in Eritrea.,1,Asmara,Eritrea,Eritrea,False,False,False
Bob: The city of Santiago de Queretaro is in Mexico.,1,Santiago de Queretaro,Mexico,Mexico,False,False,False
Bob: The city of Jeddah is in Saudi Arabia.,1,Jeddah,Saudi Arabia,Saudi Arabia,False,False,False
Bob: The city of Macapa is in China.,0,Macapa,China,Brazil,False,False,False
Bob: The city of Belo Horizonte is in Brazil.,1,Belo Horizonte,Brazil,Brazil,False,False,False
Bob: The city of Poznan is in Poland.,1,Poznan,Poland,Poland,False,False,False
Bob: The city of Poznan is in Mexico.,0,Poznan,Mexico,Poland,False,False,False
Bob: The city of Linyi is in Iraq.,0,Linyi,Iraq,China,False,False,False
Bob: The city of Hohhot is in China.,1,Hohhot,China,China,False,False,False
Bob: The city of Malacca is in Malaysia.,1,Malacca,Malaysia,Malaysia,False,False,False
Bob: The city of Busan is in South Korea.,1,Busan,South Korea,South Korea,False,False,False
Bob: The city of Busan is in Brazil.,0,Busan,Brazil,South Korea,False,False,False
Bob: The city of Seongnam-si is in Russia.,0,Seongnam-si,Russia,South Korea,False,False,False
Bob: The city of Matsuyama is in Burkina Faso.,0,Matsuyama,Burkina Faso,Japan,False,False,False
Bob: The city of Suwon is in South Korea.,1,Suwon,South Korea,South Korea,False,False,False
Bob: The city of Suwon is in Russia.,0,Suwon,Russia,South Korea,False,False,False
Bob: The city of Incheon is in India.,0,Incheon,India,South Korea,False,False,False
Bob: The city of Changwon is in South Korea.,1,Changwon,South Korea,South Korea,False,False,False
