statement,label,city,country,correct_country,has_alice,has_not,xor
Bob: The city of Krasnodar is not in Russia.,0,Krasnodar,Russia,Russia,False,True,True
Bob: The city of Lodz is not in the Dominican Republic.,1,Lodz,the Dominican Republic,Poland,False,True,True
Bob: The city of Maracay is not in Venezuela.,0,Maracay,Venezuela,Venezuela,False,True,True
Bob: The city of Baku is not in Azerbaijan.,0,Baku,Azerbaijan,Azerbaijan,False,True,True
Bob: The city of Baku is not in Ukraine.,1,Baku,Ukraine,Azerbaijan,False,True,True
Bob: The city of Baoji is not in China.,0,Baoji,China,China,False,True,True
Bob: The city of Addis Ababa is not in Ethiopia.,0,Addis Ababa,Ethiopia,Ethiopia,False,True,True
Bob: The city of Abidjan is not in China.,1,Abidjan,China,Côte d'Ivoire,False,True,True
Bob: The city of Yongzhou is not in China.,0,Yongzhou,China,China,False,True,True
Bob: The city of Yongzhou is not in Ukraine.,1,Yongzhou,Ukraine,China,False,True,True
Bob: The city of Lu'an is not in China.,0,Lu'an,China,China,False,True,True
Bob: The city of Jiaxing is not in Ukraine.,1,Jiaxing,Ukraine,China,False,True,True
Bob: The city of Anqing is not in Brazil.,1,Anqing,Brazil,China,False,True,True
Bob: The city of Yingkou is not in China.,0,Yingkou,China,China,False,True,True
Bob: The city of Panshan is not in Japan.,1,Panshan,Japan,China,False,True,True
Bob: The city of Guatemala City is not in Guatemala.,0,Guatemala City,Guatemala,Guatemala,False,True,True
Bob: The city of Guatemala City is not in Croatia.,1,Guatemala City,Croatia,Guatemala,False,True,True
Bob: The city of Bauchi is not in Nigeria.,0,Bauchi,Nigeria,Nigeria,False,True,True
Bob: The city of Tokyo is not in Japan.,0,Tokyo,Japan,Japan,False,True,True
Bob: The city of Mombasa is not in Kenya.,0,Mombasa,Kenya,Kenya,False,True,True
Bob: The city of Mombasa is not in India.,1,Mombasa,India,Kenya,False,True,True
Bob: The city of Warangal is not in Yemen.,1,Warangal,Yemen,India,False,True,True
Bob: The city of Tiruchirappalli is not in India.,0,Tiruchirappalli,India,India,False,True,True
Bob: The city of Sambhaji Nagar is not in India.,0,Sambhaji Nagar,India,India,False,True,True
Bob: The city of Ajmer is not in India.,0,Ajmer,India,India,False,True,True
Bob: The city of Rohini is not in India.,0,Rohini,India,India,False,True,True
Bob: The city of Niigata is not in Japan.,0,Niigata,Japan,Japan,False,True,True
Bob: The city of Marrakesh is not in Malaysia.,1,Marrakesh,Malaysia,Morocco,False,True,True
Bob: The city of Makati City is not in India.,1,Makati City,India,the Philippines,False,True,True
Bob: The city of Thane is not in China.,1,Thane,China,India,False,True,True
Bob: The city of Solapur is not in India.,0,Solapur,India,India,False,True,True
Bob: The city of Solapur is not in the United States.,1,Solapur,the United States,India,False,True,True
Bob: The city of Zhabei is not in China.,0,Zhabei,China,China,False,True,True
Bob: The city of Jiaozhou is not in Latvia.,1,Jiaozhou,Latvia,China,False,True,True
Bob: The city of Guilin is not in the Dominican Republic.,1,Guilin,the Dominican Republic,China,False,True,True
Bob: The city of Chaozhou is not in South Korea.,1,Chaozhou,South Korea,China,False,True,True
Bob: The city of Panzhihua is not in Iran.,1,Panzhihua,Iran,China,False,True,True
Bob: The city of Bucaramanga is not in Brazil.,1,Bucaramanga,Brazil,Colombia,False,True,True
Bob: The city of Niamey is not in Niger.,0,Niamey,Niger,Niger,False,True,True
Bob: The city of Niamey is not in China.,1,Niamey,China,Niger,False,True,True
Bob: The city of Sokoto is not in Nigeria.,0,Sokoto,Nigeria,Nigeria,False,True,True
Bob: The city of Sokoto is not in South Korea.,1,Sokoto,South Korea,Nigeria,False,True,True
Bob: The city of Abuja is not in Nigeria.,0,Abuja,Nigeria,Nigeria,False,True,True
Bob: The city of South Tangerang is not in Indonesia.,0,South Tangerang,Indonesia,Indonesia,False,True,True
Bob: The city of South Tangerang is not in India.,1,South Tangerang,India,Indonesia,False,True,True
Bob: The city of Odesa is not in China.,1,Odesa,China,Ukraine,False,True,True
Bob: The city of Fort Worth is not in Russia.,1,Fort Worth,Russia,the United States,False,True,True
Bob: The city of Boumerdes is not in Algeria.,0,Boumerdes,Algeria,Algeria,False,True,True
Bob: The city of Asmara is not in Eritrea.,0,Asmara,Eritrea,Eritrea,False,True,True
Bob: The city of Santiago de Queretaro is not in Mexico.,0,Santiago de Queretaro,Mexico,Mexico,False,True,True
Bob: The city of Jeddah is not in Saudi Arabia.,0,Jeddah,Saudi Arabia,Saudi Arabia,False,True,True
Bob: The city of Macapa is not in China.,1,Macapa,China,Brazil,False,True,True
Bob: The city of Belo Horizonte is not in Brazil.,0,Belo Horizonte,Brazil,Brazil,False,True,True
Bob: The city of Poznan is not in Poland.,0,Poznan,Poland,Poland,False,True,True
Bob: The city of Poznan is not in Mexico.,1,Poznan,Mexico,Poland,False,True,True
Bob: The city of Linyi is not in Iraq.,1,Linyi,Iraq,China,False,True,True
Bob: The city of Hohhot is not in China.,0,Hohhot,China,China,False,True,True
Bob: The city of Malacca is not in Malaysia.,0,Malacca,Malaysia,Malaysia,False,True,True
Bob: The city of Busan is not in South Korea.,0,Busan,South Korea,South Korea,False,True,True
Bob: The city of Busan is not in Brazil.,1,Busan,Brazil,South Korea,False,True,True
Bob: The city of Seongnam-si is not in Russia.,1,Seongnam-si,Russia,South Korea,False,True,True
Bob: The city of Matsuyama is not in Burkina Faso.,1,Matsuyama,Burkina Faso,Japan,False,True,True
Bob: The city of Suwon is not in South Korea.,0,Suwon,South Korea,South Korea,False,True,True
Bob: The city of Suwon is not in Russia.,1,Suwon,Russia,South Korea,False,True,True
Bob: The city of Incheon is not in India.,1,Incheon,India,South Korea,False,True,True
