statement,label,relation,subject,target,true_target
The mother tongue of Danielle Darrieux is French.,1,The mother tongue of {} is,Danielle Darrieux,French,French
The mother tongue of Danielle Darrieux is English.,0,The mother tongue of {} is,Danielle Darrieux,English,French
The official religion of Edwin of Northumbria is Christianity.,1,The official religion of {} is,Edwin of Northumbria,Christianity,Christianity
The official religion of Edwin of Northumbria is Islam.,0,The official religion of {} is,Edwin of Northumbria,Islam,Christianity
The mother tongue of Thomas Joannes Stieltjes is Dutch.,1,The mother tongue of {} is,Thomas Joannes Stieltjes,Dutch,Dutch
The mother tongue of Thomas Joannes Stieltjes is English.,0,The mother tongue of {} is,Thomas Joannes Stieltjes,English,Dutch
Apple A5 was created by Apple.,1,{} was created by,Apple A5,Apple,Apple
Apple A5 was created by Google.,0,{} was created by,Apple A5,Google,Apple
Andreas Ivanschitz professionally plays the sport soccer.,1,{} professionally plays the sport,Andreas Ivanschitz,soccer,soccer
Andreas Ivanschitz professionally plays the sport football.,0,{} professionally plays the sport,Andreas Ivanschitz,football,soccer
Michel Denisot spoke the language French.,1,{} spoke the language,Michel Denisot,French,French
Michel Denisot spoke the language Russian.,0,{} spoke the language,Michel Denisot,Russian,French
The mother tongue of Go Hyeon-jeong is Korean.,1,The mother tongue of {} is,Go Hyeon-jeong,Korean,Korean
The mother tongue of Go Hyeon-jeong is French.,0,The mother tongue of {} is,Go Hyeon-jeong,French,Korean
Saint Petersburg is a twin city of Warsaw.,1,{} is a twin city of,Saint Petersburg,Warsaw,Warsaw
Saint Petersburg is a twin city of Lisbon.,0,{} is a twin city of,Saint Petersburg,Lisbon,Warsaw
The original language of The Icelandic Dream was Icelandic.,1,The original language of {} was,The Icelandic Dream,Icelandic,Icelandic
The original language of The Icelandic Dream was Tamil.,0,The original language of {} was,The Icelandic Dream,Tamil,Icelandic
Robert William Muench is a bishop.,1,{} is a,Robert William Muench,bishop,bishop
Robert William Muench is a pope.,0,{} is a,Robert William Muench,pope,bishop
Inner Circle railway line can be found in Melbourne.,1,{} can be found in,Inner Circle railway line,Melbourne,Melbourne
Inner Circle railway line can be found in Singapore.,0,{} can be found in,Inner Circle railway line,Singapore,Melbourne
Argentine Football Association belongs to the organization of FIFA.,1,{} belongs to the organization of,Argentine Football Association,FIFA,FIFA
Argentine Football Association belongs to the organization of NATO.,0,{} belongs to the organization of,Argentine Football Association,NATO,FIFA
The headquarter of Monell Chemical Senses Center is located in Philadelphia.,1,The headquarter of {} is located in,Monell Chemical Senses Center,Philadelphia,Philadelphia
The headquarter of Monell Chemical Senses Center is located in Mumbai.,0,The headquarter of {} is located in,Monell Chemical Senses Center,Mumbai,Philadelphia
Charles Alfred Pillsbury expired at Minneapolis.,1,{} expired at,Charles Alfred Pillsbury,Minneapolis,Minneapolis
Charles Alfred Pillsbury expired at Berlin.,0,{} expired at,Charles Alfred Pillsbury,Berlin,Minneapolis
Platform Controller Hub is created by Intel.,1,{} is created by,Platform Controller Hub,Intel,Intel
Platform Controller Hub is created by Dodge.,0,{} is created by,Platform Controller Hub,Dodge,Intel
Pidgeon Island belongs to the continent of Antarctica.,1,{} belongs to the continent of,Pidgeon Island,Antarctica,Antarctica
Pidgeon Island belongs to the continent of Asia.,0,{} belongs to the continent of,Pidgeon Island,Asia,Antarctica
Kryvyi Rih belongs to the continent of Europe.,1,{} belongs to the continent of,Kryvyi Rih,Europe,Europe
Kryvyi Rih belongs to the continent of Antarctica.,0,{} belongs to the continent of,Kryvyi Rih,Antarctica,Europe
Leonardo Balada found employment in Pittsburgh.,1,{} found employment in,Leonardo Balada,Pittsburgh,Pittsburgh
Leonardo Balada found employment in Paris.,0,{} found employment in,Leonardo Balada,Paris,Pittsburgh
