statement,label,n1,n2,diff,abs_diff
Fifty-one is larger than fifty-two.,0,51,52,-1,1
Fifty-one is larger than fifty-three.,0,51,53,-2,2
Fifty-one is larger than fifty-four.,0,51,54,-3,3
Fifty-one is larger than fifty-five.,0,51,55,-4,4
Fifty-one is larger than fifty-six.,0,51,56,-5,5
Fifty-one is larger than fifty-seven.,0,51,57,-6,6
Fifty-one is larger than fifty-eight.,0,51,58,-7,7
Fifty-one is larger than fifty-nine.,0,51,59,-8,8
Fifty-one is larger than sixty-one.,0,51,61,-10,10
Fifty-one is larger than sixty-two.,0,51,62,-11,11
Fifty-one is larger than sixty-three.,0,51,63,-12,12
Fifty-one is larger than sixty-four.,0,51,64,-13,13
Fifty-one is larger than sixty-five.,0,51,65,-14,14
Fifty-one is larger than sixty-six.,0,51,66,-15,15
Fifty-one is larger than sixty-seven.,0,51,67,-16,16
Fifty-one is larger than sixty-eight.,0,51,68,-17,17
Fifty-one is larger than sixty-nine.,0,51,69,-18,18
Fifty-one is larger than seventy-one.,0,51,71,-20,20
Fifty-one is larger than seventy-two.,0,51,72,-21,21
Fifty-one is larger than seventy-three.,0,51,73,-22,22
Fifty-one is larger than seventy-four.,0,51,74,-23,23
Fifty-one is larger than seventy-five.,0,51,75,-24,24
Fifty-one is larger than seventy-six.,0,51,76,-25,25
Fifty-one is larger than seventy-seven.,0,51,77,-26,26
Fifty-one is larger than seventy-eight.,0,51,78,-27,27
Fifty-one is larger than seventy-nine.,0,51,79,-28,28
Fifty-one is larger than eighty-one.,0,51,81,-30,30
Fifty-one is larger than eighty-two.,0,51,82,-31,31
Fifty-one is larger than eighty-three.,0,51,83,-32,32
Fifty-one is larger than eighty-four.,0,51,84,-33,33
Fifty-one is larger than eighty-five.,0,51,85,-34,34
Fifty-one is larger than eighty-six.,0,51,86,-35,35
Fifty-one is larger than eighty-seven.,0,51,87,-36,36
Fifty-one is larger than eighty-eight.,0,51,88,-37,37
Fifty-one is larger than eighty-nine.,0,51,89,-38,38
Fifty-one is larger than ninety-one.,0,51,91,-40,40
Fifty-one is larger than ninety-two.,0,51,92,-41,41
Fifty-one is larger than ninety-three.,0,51,93,-42,42
Fifty-one is larger than ninety-four.,0,51,94,-43,43
Fifty-one is larger than ninety-five.,0,51,95,-44,44
Fifty-one is larger than ninety-six.,0,51,96,-45,45
Fifty-one is larger than ninety-seven.,0,51,97,-46,46
Fifty-one is larger than ninety-eight.,0,51,98,-47,47
Fifty-one is larger than ninety-nine.,0,51,99,-48,48
Fifty-two is larger than fifty-one.,1,52,51,1,1
Fifty-two is larger than fifty-three.,0,52,53,-1,1
Fifty-two is larger than fifty-four.,0,52,54,-2,2
