statement,label,statement1,label1,city1,country1,correct_country1,statement2,label2,city2,country2,correct_country2
It is the case both that the city of Al Ain City is in the United Arab Emirates and that the city of Jilin is in China.,1,The city of Al Ain City is in the United Arab Emirates.,1,Al Ain City,United Arab Emirates,United Arab Emirates,The city of Jilin is in China.,1,Jilin,China,China
It is the case both that the city of Lipetsk is in Russia and that the city of Thuan An is in Vietnam.,1,The city of Lipetsk is in Russia.,1,Lipetsk,Russian Federation,Russian Federation,The city of Thuan An is in Vietnam.,1,Thuan An,Viet Nam,Viet Nam
It is the case both that the city of Mandalay is in Myanmar and that the city of Yibin is in China.,1,The city of Mandalay is in Myanmar.,1,Mandalay,Myanmar,Myanmar,The city of Yibin is in China.,1,Yibin,China,China
It is the case both that the city of Cangzhou is in China and that the city of Shangyu is in China.,1,The city of Cangzhou is in China.,1,Cangzhou,China,China,The city of Shangyu is in China.,1,Shangyu,China,China
It is the case both that the city of Nanded is in India and that the city of Shaoguan is in China.,1,The city of Nanded is in India.,1,Nanded,India,India,The city of Shaoguan is in China.,1,Shaoguan,China,China
It is the case both that the city of Tianjin is in China and that the city of Dombivli is in India.,1,The city of Tianjin is in China.,1,Tianjin,China,China,The city of Dombivli is in India.,1,Dombivli,India,India
It is the case both that the city of Tokyo is in Japan and that the city of Xianning is in China.,1,The city of Tokyo is in Japan.,1,Tokyo,Japan,Japan,The city of Xianning is in China.,1,Xianning,China,China
It is the case both that the city of Wuhan is in China and that the city of Brazzaville is in the Republic of the Congo.,1,The city of Wuhan is in China.,1,Wuhan,China,China,The city of Brazzaville is in the Republic of the Congo.,1,Brazzaville,Congo,Congo
It is the case both that the city of Saint Petersburg is in Russia and that the city of Thane is in India.,1,The city of Saint Petersburg is in Russia.,1,Saint Petersburg,Russian Federation,Russian Federation,The city of Thane is in India.,1,Thane,India,India
It is the case both that the city of Denpasar is in Indonesia and that the city of Agadir is in Morocco.,1,The city of Denpasar is in Indonesia.,1,Denpasar,Indonesia,Indonesia,The city of Agadir is in Morocco.,1,Agadir,Morocco,Morocco
It is the case both that the city of Aktobe is in Kazakhstan and that the city of Deyang is in China.,1,The city of Aktobe is in Kazakhstan.,1,Aktobe,Kazakhstan,Kazakhstan,The city of Deyang is in China.,1,Deyang,China,China
It is the case both that the city of Mukalla is in Yemen and that the city of Quzhou is in China.,1,The city of Mukalla is in Yemen.,1,Mukalla,Yemen,Yemen,The city of Quzhou is in China.,1,Quzhou,China,China
It is the case both that the city of Nanded is in India and that the city of Erbil is in Iraq.,1,The city of Nanded is in India.,1,Nanded,India,India,The city of Erbil is in Iraq.,1,Erbil,Iraq,Iraq
It is the case both that the city of New South Memphis is in the United States and that the city of Nasiriyah is in Iraq.,1,The city of New South Memphis is in the United States.,1,New South Memphis,United States,United States,The city of Nasiriyah is in Iraq.,1,Nasiriyah,Iraq,Iraq
It is the case both that the city of Pune is in India and that the city of Rui'an is in China.,1,The city of Pune is in India.,1,Pune,India,India,The city of Rui'an is in China.,1,Rui'an,China,China
It is the case both that the city of Lanzhou is in China and that the city of Istanbul is in Turkey.,1,The city of Lanzhou is in China.,1,Lanzhou,China,China,The city of Istanbul is in Turkey.,1,Istanbul,Turkey,Turkey
It is the case both that the city of Handan is in China and that the city of Kermanshah is in Iran.,1,The city of Handan is in China.,1,Handan,China,China,The city of Kermanshah is in Iran.,1,Kermanshah,"Iran, Islamic Rep. of","Iran, Islamic Rep. of"
It is the case both that the city of Mandalay is in Myanmar and that the city of Soweto is in South Africa.,1,The city of Mandalay is in Myanmar.,1,Mandalay,Myanmar,Myanmar,The city of Soweto is in South Africa.,1,Soweto,South Africa,South Africa
It is the case both that the city of Namangan is in Uzbekistan and that the city of Weinan is in China.,1,The city of Namangan is in Uzbekistan.,1,Namangan,Uzbekistan,Uzbekistan,The city of Weinan is in China.,1,Weinan,China,China
It is the case both that the city of Leipzig is in Germany and that the city of Khartoum is in Sudan.,1,The city of Leipzig is in Germany.,1,Leipzig,Germany,Germany,The city of Khartoum is in Sudan.,1,Khartoum,"Sudan, The Republic of","Sudan, The Republic of"
It is the case both that the city of Buraydah is in Saudi Arabia and that the city of Asyut is in Egypt.,1,The city of Buraydah is in Saudi Arabia.,1,Buraydah,Saudi Arabia,Saudi Arabia,The city of Asyut is in Egypt.,1,Asyut,Egypt,Egypt
It is the case both that the city of Can Tho is in Vietnam and that the city of Zhenjiang is in China.,1,The city of Can Tho is in Vietnam.,1,Can Tho,Viet Nam,Viet Nam,The city of Zhenjiang is in China.,1,Zhenjiang,China,China
It is the case both that the city of Daejeon is in South Korea and that the city of E'zhou is in China.,1,The city of Daejeon is in South Korea.,1,Daejeon,"Korea, Republic of","Korea, Republic of",The city of E'zhou is in China.,1,E'zhou,China,China
It is the case both that the city of Iztapalapa is in Mexico and that the city of Pyongyang is in North Korea.,1,The city of Iztapalapa is in Mexico.,1,Iztapalapa,Mexico,Mexico,The city of Pyongyang is in North Korea.,1,Pyongyang,"Korea, Dem. People's Rep. of","Korea, Dem. People's Rep. of"
It is the case both that the city of Hanzhong is in China and that the city of Thane is in India.,1,The city of Hanzhong is in China.,1,Hanzhong,China,China,The city of Thane is in India.,1,Thane,India,India
It is the case both that the city of Fortaleza is in Brazil and that the city of Bogor is in Indonesia.,1,The city of Fortaleza is in Brazil.,1,Fortaleza,Brazil,Brazil,The city of Bogor is in Indonesia.,1,Bogor,Indonesia,Indonesia
It is the case both that the city of Najafgarh is in India and that the city of Sevastopol is in Ukraine.,1,The city of Najafgarh is in India.,1,Najafgarh,India,India,The city of Sevastopol is in Ukraine.,1,Sevastopol,Ukraine,Ukraine
It is the case both that the city of Theni is in India and that the city of Zhoushan is in China.,1,The city of Theni is in India.,1,Theni,India,India,The city of Zhoushan is in China.,1,Zhoushan,China,China
It is the case both that the city of Chattogram is in Bangladesh and that the city of Onitsha is in Nigeria.,1,The city of Chattogram is in Bangladesh.,1,Chattogram,Bangladesh,Bangladesh,The city of Onitsha is in Nigeria.,1,Onitsha,Nigeria,Nigeria
It is the case both that the city of Puente Alto is in Chile and that the city of Yaroslavl is in Russia.,1,The city of Puente Alto is in Chile.,1,Puente Alto,Chile,Chile,The city of Yaroslavl is in Russia.,1,Yaroslavl,Russian Federation,Russian Federation
It is the case both that the city of Meerut is in India and that the city of Varanasi is in India.,1,The city of Meerut is in India.,1,Meerut,India,India,The city of Varanasi is in India.,1,Varanasi,India,India
It is the case both that the city of Kumasi is in Ghana and that the city of Qinhuangdao is in China.,1,The city of Kumasi is in Ghana.,1,Kumasi,Ghana,Ghana,The city of Qinhuangdao is in China.,1,Qinhuangdao,China,China
It is the case both that the city of Campos dos Goytacazes is in Brazil and that the city of Dushanbe is in Tajikistan.,1,The city of Campos dos Goytacazes is in Brazil.,1,Campos dos Goytacazes,Brazil,Brazil,The city of Dushanbe is in Tajikistan.,1,Dushanbe,Tajikistan,Tajikistan
It is the case both that the city of Kota Bharu is in Malaysia and that the city of Minsk is in Belarus.,1,The city of Kota Bharu is in Malaysia.,1,Kota Bharu,Malaysia,Malaysia,The city of Minsk is in Belarus.,1,Minsk,Belarus,Belarus
It is the case both that the city of Bouake is in Côte d'Ivoire and that the city of Tolyatti is in Russia.,1,The city of Bouake is in Côte d'Ivoire.,1,Bouake,Côte d'Ivoire,Côte d'Ivoire,The city of Tolyatti is in Russia.,1,Tolyatti,Russian Federation,Russian Federation
It is the case both that the city of Istanbul is in Turkey and that the city of Theni is in India.,1,The city of Istanbul is in Turkey.,1,Istanbul,Turkey,Turkey,The city of Theni is in India.,1,Theni,India,India
It is the case both that the city of Irbid is in Jordan and that the city of Nagoya is in Japan.,1,The city of Irbid is in Jordan.,1,Irbid,Jordan,Jordan,The city of Nagoya is in Japan.,1,Nagoya,Japan,Japan
It is the case both that the city of Kigali is in Rwanda and that the city of Bandar Lampung is in Indonesia.,1,The city of Kigali is in Rwanda.,1,Kigali,Rwanda,Rwanda,The city of Bandar Lampung is in Indonesia.,1,Bandar Lampung,Indonesia,Indonesia
It is the case both that the city of Rajkot is in India and that the city of Sendai is in Japan.,1,The city of Rajkot is in India.,1,Rajkot,India,India,The city of Sendai is in Japan.,1,Sendai,Japan,Japan
It is the case both that the city of Hannover is in Germany and that the city of Basrah is in Iraq.,1,The city of Hannover is in Germany.,1,Hannover,Germany,Germany,The city of Basrah is in Iraq.,1,Basrah,Iraq,Iraq
It is the case both that the city of Kyiv is in Ukraine and that the city of Rio de Janeiro is in Brazil.,1,The city of Kyiv is in Ukraine.,1,Kyiv,Ukraine,Ukraine,The city of Rio de Janeiro is in Brazil.,1,Rio de Janeiro,Brazil,Brazil
It is the case both that the city of Xiamen is in China and that the city of Wanzhou is in China.,1,The city of Xiamen is in China.,1,Xiamen,China,China,The city of Wanzhou is in China.,1,Wanzhou,China,China
It is the case both that the city of Bucheon-si is in South Korea and that the city of Homs is in Syria.,1,The city of Bucheon-si is in South Korea.,1,Bucheon-si,"Korea, Republic of","Korea, Republic of",The city of Homs is in Syria.,1,Homs,Syrian Arab Republic,Syrian Arab Republic
It is the case both that the city of Ribeirao Preto is in Brazil and that the city of Tashkent is in Uzbekistan.,1,The city of Ribeirao Preto is in Brazil.,1,Ribeirao Preto,Brazil,Brazil,The city of Tashkent is in Uzbekistan.,1,Tashkent,Uzbekistan,Uzbekistan
It is the case both that the city of Port-au-Prince is in Haiti and that the city of Pasig City is in the Philippines.,1,The city of Port-au-Prince is in Haiti.,1,Port-au-Prince,Haiti,Haiti,The city of Pasig City is in the Philippines.,1,Pasig City,Philippines,Philippines
It is the case both that the city of Tokyo is in Japan and that the city of Dushanbe is in Tajikistan.,1,The city of Tokyo is in Japan.,1,Tokyo,Japan,Japan,The city of Dushanbe is in Tajikistan.,1,Dushanbe,Tajikistan,Tajikistan
It is the case both that the city of Pikine is in Senegal and that the city of Chenzhou is in China.,1,The city of Pikine is in Senegal.,1,Pikine,Senegal,Senegal,The city of Chenzhou is in China.,1,Chenzhou,China,China
It is the case both that the city of Sorocaba is in Brazil and that the city of Da Nang is in Vietnam.,1,The city of Sorocaba is in Brazil.,1,Sorocaba,Brazil,Brazil,The city of Da Nang is in Vietnam.,1,Da Nang,Viet Nam,Viet Nam
It is the case both that the city of San Pedro Sula is in Honduras and that the city of Bhiwandi is in India.,1,The city of San Pedro Sula is in Honduras.,1,San Pedro Sula,Honduras,Honduras,The city of Bhiwandi is in India.,1,Bhiwandi,India,India
It is the case both that the city of Chongqing is in China and that the city of Mysore is in India.,1,The city of Chongqing is in China.,1,Chongqing,China,China,The city of Mysore is in India.,1,Mysore,India,India
It is the case both that the city of Weifang is in China and that the city of Durban is in South Africa.,1,The city of Weifang is in China.,1,Weifang,China,China,The city of Durban is in South Africa.,1,Durban,South Africa,South Africa
It is the case both that the city of Vladivostok is in Russia and that the city of Calgary is in Canada.,1,The city of Vladivostok is in Russia.,1,Vladivostok,Russian Federation,Russian Federation,The city of Calgary is in Canada.,1,Calgary,Canada,Canada
It is the case both that the city of Mosul is in Iraq and that the city of Luohe is in China.,1,The city of Mosul is in Iraq.,1,Mosul,Iraq,Iraq,The city of Luohe is in China.,1,Luohe,China,China
It is the case both that the city of Batam is in Indonesia and that the city of Basrah is in Iraq.,1,The city of Batam is in Indonesia.,1,Batam,Indonesia,Indonesia,The city of Basrah is in Iraq.,1,Basrah,Iraq,Iraq
It is the case both that the city of Ordos is in China and that the city of Wanning is in China.,1,The city of Ordos is in China.,1,Ordos,China,China,The city of Wanning is in China.,1,Wanning,China,China
It is the case both that the city of Al Fayyum is in Egypt and that the city of Abu Dhabi is in the United Arab Emirates.,1,The city of Al Fayyum is in Egypt.,1,Al Fayyum,Egypt,Egypt,The city of Abu Dhabi is in the United Arab Emirates.,1,Abu Dhabi,United Arab Emirates,United Arab Emirates
It is the case both that the city of Makassar is in Indonesia and that the city of Ludhiana is in India.,1,The city of Makassar is in Indonesia.,1,Makassar,Indonesia,Indonesia,The city of Ludhiana is in India.,1,Ludhiana,India,India
It is the case both that the city of Chelyabinsk is in Russia and that the city of Jabalpur is in India.,1,The city of Chelyabinsk is in Russia.,1,Chelyabinsk,Russian Federation,Russian Federation,The city of Jabalpur is in India.,1,Jabalpur,India,India
It is the case both that the city of Mersin is in Turkey and that the city of Budapest is in Hungary.,1,The city of Mersin is in Turkey.,1,Mersin,Turkey,Turkey,The city of Budapest is in Hungary.,1,Budapest,Hungary,Hungary
