statement,label
The Spanish word 'con' means 'to speak'.,0
The Spanish word 'uno' means 'one'.,1
The Spanish word 'tener' means 'to have'.,1
The Spanish word 'caliente' means 'hot'.,1
The Spanish word 'palabra' means 'word'.,1
The Spanish word 'pero' means 'but'.,1
The Spanish word 'o' means 'octopus'.,0
The Spanish word 'de' means 'now'.,0
The Spanish word 'y' means 'and'.,1
The Spanish word 'otro' means 'hot'.,0
The Spanish word 'hacer' means 'lost'.,0
The Spanish word 'tiempo' means 'market'.,0
The Spanish word 'decir' means 'order'.,0
The Spanish word 'conjunto' means 'son'.,0
The Spanish word 'tres' means 'three'.,1
The Spanish word 'querer' means 'of'.,0
The Spanish word 'aire' means 'silver'.,0
The Spanish word 'jugar' means 'to play'.,1
The Spanish word 'poner' means 'whale'.,0
The Spanish word 'casa' means 'to make'.,0
The Spanish word 'leer' means 'to read'.,1
The Spanish word 'mano' means 'too'.,0
The Spanish word 'grande' means 'large'.,1
The Spanish word 'tierra' means 'land'.,1
The Spanish word 'grande' means 'to ask'.,0
The Spanish word 'alto' means 'space'.,0
The Spanish word 'preguntar' means 'to describe'.,0
The Spanish word 'hombre' means 'simple'.,0
The Spanish word 'luz' means 'week'.,0
The Spanish word 'madre' means 'mother'.,1
The Spanish word 'mundo' means 'zebra'.,0
The Spanish word 'cerca' means 'dog'.,0
The Spanish word 'construir' means 'to build'.,1
The Spanish word 'padre' means 'special'.,0
The Spanish word 'nuevo' means 'always'.,0
The Spanish word 'parte' means 'part'.,1
The Spanish word 'lugar' means 'place'.,1
The Spanish word 'vivir' means 'sheep'.,0
The Spanish word 'espalda' means 'back'.,1
The Spanish word 'bueno' means 'good'.,1
The Spanish word 'dar' means 'before'.,0
The Spanish word 'nombre' means 'name'.,1
The Spanish word 'muy' means 'temperature'.,0
The Spanish word 'pensar' means 'to think'.,1
The Spanish word 'ayudar' means 'to help'.,1
The Spanish word 'antes' means 'before'.,1
The Spanish word 'derecho' means 'summer'.,0
The Spanish word 'viejo' means 'old'.,1
The Spanish word 'demasiado' means 'too'.,1
The Spanish word 'mismo' means 'to write'.,0
The Spanish word 'todo' means 'all'.,1
The Spanish word 'usar' means 'to fight'.,0
The Spanish word 'entonces' means 'corner'.,0
The Spanish word 'escribir' means 'to write'.,1
The Spanish word 'largo' means 'history'.,0
The Spanish word 'hacer' means 'neck'.,0
The Spanish word 'cosa' means 'thing'.,1
The Spanish word 'ver' means 'to see'.,1
The Spanish word 'dos' means 'enemy'.,0
The Spanish word 'venir' means 'to know'.,0
The Spanish word 'persona' means 'person'.,1
The Spanish word 'saber' means 'happy'.,0
The Spanish word 'agua' means 'water'.,1
The Spanish word 'primero' means 'first'.,1
The Spanish word 'lado' means 'equal'.,0
The Spanish word 'ahora' means 'now'.,1
The Spanish word 'encontrar' means 'person'.,0
The Spanish word 'cabeza' means 'head'.,1
The Spanish word 'respuesta' means 'bread'.,0
The Spanish word 'escuela' means 'school'.,1
The Spanish word 'crecer' means 'to grow'.,1
The Spanish word 'aprender' means 'light'.,0
The Spanish word 'planta' means 'cloud'.,0
The Spanish word 'sol' means 'sun'.,1
The Spanish word 'cuatro' means 'to imagine'.,0
The Spanish word 'ojo' means 'order'.,0
The Spanish word 'nunca' means 'to hear'.,0
The Spanish word 'ciudad' means 'city'.,1
The Spanish word 'cruzar' means 'pig'.,0
The Spanish word 'granja' means 'woman'.,0
The Spanish word 'historia' means 'office'.,0
The Spanish word 'mar' means 'sea'.,1
The Spanish word 'dibujar' means 'to draw'.,1
The Spanish word 'izquierda' means 'never'.,0
The Spanish word 'tarde' means 'hand'.,0
The Spanish word 'mientras' means 'while'.,1
The Spanish word 'noche' means 'night'.,1
The Spanish word 'vida' means 'life'.,1
The Spanish word 'norte' means 'north'.,1
The Spanish word 'libro' means 'industry'.,0
The Spanish word 'llevar' means 'end'.,0
The Spanish word 'ciencia' means 'to buy'.,0
The Spanish word 'comer' means 'to eat'.,1
The Spanish word 'amigo' means 'friend'.,1
The Spanish word 'escuchar' means 'market'.,0
The Spanish word 'caballo' means 'horse'.,1
The Spanish word 'cara' means 'name'.,0
The Spanish word 'madera' means 'to have'.,0
The Spanish word 'abierto' means 'open'.,1
The Spanish word 'parecer' means 'to seem'.,1
The Spanish word 'blanco' means 'to think'.,0
The Spanish word 'caminar' means 'to walk'.,1
The Spanish word 'ejemplo' means 'example'.,1
The Spanish word 'papel' means 'paper'.,1
The Spanish word 'grupo' means 'group'.,1
The Spanish word 'siempre' means 'month'.,0
The Spanish word 'carta' means 'nothing'.,0
The Spanish word 'coche' means 'car'.,1
The Spanish word 'segundo' means 'hello'.,0
The Spanish word 'suficiente' means 'enough'.,1
The Spanish word 'llano' means 'chair'.,0
The Spanish word 'chica' means 'to eat'.,0
The Spanish word 'joven' means 'hot'.,0
The Spanish word 'listo' means 'ready'.,1
The Spanish word 'rojo' means 'red'.,1
The Spanish word 'lista' means 'list'.,1
The Spanish word 'sentir' means 'to build'.,0
The Spanish word 'pronto' means 'to die'.,0
The Spanish word 'cuerpo' means 'body'.,1
The Spanish word 'perro' means 'dog'.,1
The Spanish word 'familia' means 'family'.,1
The Spanish word 'directo' means 'to eat'.,0
The Spanish word 'medir' means 'to carry'.,0
The Spanish word 'negro' means 'black'.,1
The Spanish word 'corto' means 'letter'.,0
The Spanish word 'clase' means 'class'.,1
The Spanish word 'viento' means 'wind'.,1
The Spanish word 'medio' means 'large'.,0
The Spanish word 'roca' means 'rock'.,1
The Spanish word 'orden' means 'old'.,0
The Spanish word 'fuego' means 'fire'.,1
The Spanish word 'sur' means 'south'.,1
The Spanish word 'problema' means 'problem'.,1
The Spanish word 'pieza' means 'duck'.,0
