statement,label,statement1,label1,city1,country1,correct_country1,statement2,label2,city2,country2,correct_country2
It is the case either that the city of Nanded is in India or that the city of Wanzhou is in China.,1,The city of Nanded is in India.,1,Nanded,India,India,The city of Wanzhou is in China.,1,Wanzhou,China,China
It is the case either that the city of Casablanca is in Morocco or that the city of Huizhou is in China.,1,The city of Casablanca is in Morocco.,1,Casablanca,Morocco,Morocco,The city of Huizhou is in China.,1,Huizhou,China,China
It is the case either that the city of Taguig is in the Philippines or that the city of Theni is in India.,1,The city of Taguig is in the Philippines.,1,Taguig,Philippines,Philippines,The city of Theni is in India.,1,Theni,India,India
It is the case either that the city of Maturin is in Venezuela or that the city of Bouake is in Côte d'Ivoire.,1,The city of Maturin is in Venezuela.,1,Maturin,"Venezuela, Bolivarian Rep. of","Venezuela, Bolivarian Rep. of",The city of Bouake is in Côte d'Ivoire.,1,Bouake,Côte d'Ivoire,Côte d'Ivoire
It is the case either that the city of Jilin is in China or that the city of Ilorin is in Nigeria.,1,The city of Jilin is in China.,1,Jilin,China,China,The city of Ilorin is in Nigeria.,1,Ilorin,Nigeria,Nigeria
It is the case either that the city of Faridabad is in India or that the city of Subang Jaya is in Malaysia.,1,The city of Faridabad is in India.,1,Faridabad,India,India,The city of Subang Jaya is in Malaysia.,1,Subang Jaya,Malaysia,Malaysia
It is the case either that the city of Sao Jose dos Campos is in Brazil or that the city of Nizhniy Novgorod is in Russia.,1,The city of Sao Jose dos Campos is in Brazil.,1,Sao Jose dos Campos,Brazil,Brazil,The city of Nizhniy Novgorod is in Russia.,1,Nizhniy Novgorod,Russian Federation,Russian Federation
It is the case either that the city of Amman is in Jordan or that the city of Najran is in Saudi Arabia.,1,The city of Amman is in Jordan.,1,Amman,Jordan,Jordan,The city of Najran is in Saudi Arabia.,1,Najran,Saudi Arabia,Saudi Arabia
It is the case either that the city of Bauchi is in Nigeria or that the city of Bahcelievler is in Turkey.,1,The city of Bauchi is in Nigeria.,1,Bauchi,Nigeria,Nigeria,The city of Bahcelievler is in Turkey.,1,Bahcelievler,Turkey,Turkey
It is the case either that the city of Bamako is in Mali or that the city of Hwaseong-si is in South Korea.,1,The city of Bamako is in Mali.,1,Bamako,Mali,Mali,The city of Hwaseong-si is in South Korea.,1,Hwaseong-si,"Korea, Republic of","Korea, Republic of"
It is the case either that the city of Mudanjiang is in China or that the city of Anqing is in China.,1,The city of Mudanjiang is in China.,1,Mudanjiang,China,China,The city of Anqing is in China.,1,Anqing,China,China
It is the case either that the city of Puning is in China or that the city of Tianjin is in China.,1,The city of Puning is in China.,1,Puning,China,China,The city of Tianjin is in China.,1,Tianjin,China,China
It is the case either that the city of Samarkand is in Uzbekistan or that the city of Xuzhou is in China.,1,The city of Samarkand is in Uzbekistan.,1,Samarkand,Uzbekistan,Uzbekistan,The city of Xuzhou is in China.,1,Xuzhou,China,China
It is the case either that the city of Kozhikode is in India or that the city of Bikaner is in India.,1,The city of Kozhikode is in India.,1,Kozhikode,India,India,The city of Bikaner is in India.,1,Bikaner,India,India
It is the case either that the city of Dammam is in Saudi Arabia or that the city of Basrah is in Iraq.,1,The city of Dammam is in Saudi Arabia.,1,Dammam,Saudi Arabia,Saudi Arabia,The city of Basrah is in Iraq.,1,Basrah,Iraq,Iraq
It is the case either that the city of Xinyang is in China or that the city of Kyiv is in Ukraine.,1,The city of Xinyang is in China.,1,Xinyang,China,China,The city of Kyiv is in Ukraine.,1,Kyiv,Ukraine,Ukraine
It is the case either that the city of Binzhou is in China or that the city of Lodz is in Poland.,1,The city of Binzhou is in China.,1,Binzhou,China,China,The city of Lodz is in Poland.,1,Lodz,Poland,Poland
It is the case either that the city of Naucalpan de Juarez is in Mexico or that the city of Yunfu is in China.,1,The city of Naucalpan de Juarez is in Mexico.,1,Naucalpan de Juarez,Mexico,Mexico,The city of Yunfu is in China.,1,Yunfu,China,China
It is the case either that the city of Erbil is in Iraq or that the city of Torreon is in Mexico.,1,The city of Erbil is in Iraq.,1,Erbil,Iraq,Iraq,The city of Torreon is in Mexico.,1,Torreon,Mexico,Mexico
It is the case either that the city of Kandahar is in Afghanistan or that the city of Latakia is in Syria.,1,The city of Kandahar is in Afghanistan.,1,Kandahar,Afghanistan,Afghanistan,The city of Latakia is in Syria.,1,Latakia,Syrian Arab Republic,Syrian Arab Republic
It is the case either that the city of Quebec is in Canada or that the city of Sanaa is in Yemen.,1,The city of Quebec is in Canada.,1,Quebec,Canada,Canada,The city of Sanaa is in Yemen.,1,Sanaa,Yemen,Yemen
It is the case either that the city of Volgograd is in Russia or that the city of Comilla is in Bangladesh.,1,The city of Volgograd is in Russia.,1,Volgograd,Russian Federation,Russian Federation,The city of Comilla is in Bangladesh.,1,Comilla,Bangladesh,Bangladesh
It is the case either that the city of Kolhapur is in India or that the city of Mexicali is in Mexico.,1,The city of Kolhapur is in India.,1,Kolhapur,India,India,The city of Mexicali is in Mexico.,1,Mexicali,Mexico,Mexico
It is the case either that the city of Kanpur is in India or that the city of Baise is in China.,1,The city of Kanpur is in India.,1,Kanpur,India,India,The city of Baise is in China.,1,Baise,China,China
It is the case either that the city of Tabriz is in Iran or that the city of Borivli is in India.,1,The city of Tabriz is in Iran.,1,Tabriz,"Iran, Islamic Rep. of","Iran, Islamic Rep. of",The city of Borivli is in India.,1,Borivli,India,India
